Position,"Track Name",Artist,Streams,URL
1,"DDU-DU DDU-DU",BLACKPINK,26281,https://open.spotify.com/track/7b8YOVV5quZcSKEijDgyWB
2,"บอกตัวเอง (feat. โป่ง หินเหล็กไฟ)","Room 39",15788,https://open.spotify.com/track/3WQe3r4R1lnJs75ty9UYDF
3,"Girls Like You (feat. Cardi B)","Maroon 5",15299,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
4,ภาพจำ,"Pop Pongkool",15045,https://open.spotify.com/track/4YRpjJaJpiI36HM36Dn5lS
5,"Forever Young",BLACKPINK,14677,https://open.spotify.com/track/2naEVOadudtXHwtZNfjMDM
6,นอนได้แล้ว,"Fukking Hero",13502,https://open.spotify.com/track/5JhLoyD2idGlKXwD9nmYuB
7,หมอกร้าย,Lipta,13320,https://open.spotify.com/track/0EYgFMIXhjcFgX6xe2NY9v
8,ถ้าเธอต้องเลือก,Illslick,12518,https://open.spotify.com/track/5Of65kRDivh4UHG3SG5Iad
9,"Good Morning Teacher","Atom Chanakan",11763,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z
10,"Back To You","Selena Gomez",11563,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
11,คนที่ไม่ใช่,O-Pavee,11121,https://open.spotify.com/track/76rs0Apd4Ct5LwJm8pB6r1
12,Really,BLACKPINK,10695,https://open.spotify.com/track/2r5oD7twaQTsv5KoRS6v16
13,กำลังจะ,Illslick,10283,https://open.spotify.com/track/18kwPdB3Bx8n9Mk4YsO6LT
14,ถ้าฉันหายไป(Skyline),"Earth Patravee",10128,https://open.spotify.com/track/0goff2JabkZTEq1yKeyoM8
15,"Bed (feat. Ariana Grande)","Nicki Minaj",10094,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
16,"Day 1 ◑",HONNE,9352,https://open.spotify.com/track/7AWZvcyaSBxRzaBJcHf9XL
17,2002,Anne-Marie,9049,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
18,"Better Now","Post Malone",9037,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
19,"Ocean (feat. Khalid)","Martin Garrix",9027,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
